1,29/06/2015 03:28,31.71155N,114.06822W,7
1,29/06/2015 03:30,31.86758N,114.32503W,7
1,29/06/2015 03:32,32.02260N,114.58063W,7
1,29/06/2015 03:34,32.17692N,114.83813W,7
1,29/06/2015 03:36,32.33107N,115.09613W,7
1,29/06/2015 03:38,32.48608N,115.35827W,7
1,29/06/2015 03:40,32.64127N,115.62125W,7
1,29/06/2015 03:42,32.78683N,115.89333W,7
1,29/06/2015 03:44,32.93085N,116.16988W,7
1,29/06/2015 03:46,33.07418N,116.44540W,7
1,29/06/2015 03:48,33.24053N,116.70357W,7
1,29/06/2015 03:50,33.43502N,116.93840W,7
1,29/06/2015 03:52,33.62900N,117.17393W,7
1,29/06/2015 03:54,33.82435N,117.41253W,7
1,29/06/2015 03:56,34.02863N,117.64137W,7
1,29/06/2015 03:58,34.21402N,117.89405W,7
1,29/06/2015 04:00,34.39718N,118.15188W,7
1,29/06/2015 04:02,34.58068N,118.41178W,7
1,29/06/2015 04:04,34.76282N,118.67202W,7
1,29/06/2015 04:06,34.94187N,118.92865W,7
1,29/06/2015 04:08,35.12657N,119.19542W,7
1,29/06/2015 04:10,35.31507N,119.47058W,7
1,29/06/2015 04:12,35.50543N,119.74953W,7
1,29/06/2015 04:14,35.68155N,120.03742W,7
1,29/06/2015 04:16,35.79193N,120.36632W,7
1,29/06/2015 04:18,35.91175N,120.69710W,7
1,29/06/2015 04:20,36.10797N,120.97812W,7
1,29/06/2015 04:22,36.30983N,121.22977W,7
1,29/06/2015 04:24,36.50313N,121.41533W,7
1,29/06/2015 04:26,36.70157N,121.50907W,7
1,29/06/2015 04:28,36.88920N,121.58837W,7
1,29/06/2015 04:30,37.05313N,121.65703W,7
1,29/06/2015 04:32,37.19922N,121.72622W,7
1,29/06/2015 04:34,37.28350N,121.81755W,7
1,29/06/2015 04:38,37.39113N,121.93530W,7
